"site","cast","stn","depthid","depthsampled","lat","long","chl","temp","sal","oxy","theta","sigmatheta","n2","inctemp","nutcast","nutdepth","PO4","NO3_NO2","NO2","NH4","TN","sil","NPOC"
"stn21.d0","cast062","stn21","d0",5,6.5,-48,0.02,27.9652,36.0646,4.14989,27.9640199249703,23.2094954476602,3.52480086701297e-05,28,"cast061",5.78,"0.1423","0.0326","0.03","0.0244","2.96540110261996","1.6441","71.6741755126227"
"stn21.d1","cast062","stn21","d1",96,6.5,-48,0.303,27.678,36.2521,4.09193,27.6552487021703,23.4515153758199,7.3889717679204e-07,28,"cast061",98.771,"0.1487","0.034","0.0272","0.0247","5.49692075492899","1.8165","74.3243442274448"
"stn21.d2","cast062","stn21","d2",248,6.5,-48,0.0195,11.2358,35.1447,2.68805,11.2044226044348,26.851410626271,9.01300427584541e-06,12,"cast061",252.071,"1.7262","25.5105","0.0295","0.0249","26.436042059263","11.9459","46.5620164441492"
"stn21.d3","cast061","stn21","d3",803,6.5,-48,0.0558,5.4682,34.5817,2.74777,5.39891750994839,27.2966974630051,5.35714303029945e-06,3,"cast061",802.866,"2.4319","35.4835","0.0267","0.0741","36.9492624943367","28.6591","48.5762524182955"
"stn21.d4","cast061","stn21","d4",2501,6.5,-48,0.0513,2.9919,34.9455,5.20333,2.7891026789003,27.8609690580852,3.31273567521475e-07,3,"cast061",2502.223,"1.404","19.7831","0.0239","0.0253","20.8401546979414","24.5676","43.2364474144918"
"stn21.d5","cast061","stn21","d5",3968,6.5,-48,0.0592,2.261,34.8919,5.24623,1.91620562721458,27.8918006257099,-1.54603567356322e-08,3,"cast061",3968.058,"1.4419","20.1121","0.0361","0.0353","22.1211986595618","34.5288","41.3092625351143"
"stn22.d0","cast063","stn22","d0",5,8.25,-50,0.0417,27.8998,35.7952,4.11437,27.8986229128491,23.0281720289007,7.39298715815173e-05,28,"cast063",5.867,"0.1359","0.0434","0.0526","0.048","4.56969914801385","1.5986","70.6753296909941"
"stn22.d1","cast063","stn22","d1",100,8.25,-50,0.3021,23.7821,36.7441,3.30125,23.7608268365523,25.0353287530997,0.000602715521894426,25,"cast063",100.664,"0.2541","2.768","0.1023","0.0178","8.03577731649785","1.954","66.1471647892542"
"stn22.d2","cast063","stn22","d2",250,8.25,-50,0.0447,10.79,35.0914,2.2491,10.75919526692,26.8906821637561,8.16777575876092e-06,12,"cast063",250.444,"1.7651","27.0088","0.0539","0.0075","29.9735768459205","12.0806","52.3041473572174"
"stn22.d3","cast063","stn22","d3",772,8.25,-50,0.0592,5.5983,34.629,2.69501,5.53101475439091,27.3181463782723,4.37248694705299e-06,3,"cast063",773.071,"2.3531","34.9979","0.0448","0.0374","37.5942941361816","27.539","41.3738937353373"
"stn22.d4","cast063","stn22","d4",2504,8.25,-50,0.0502,3.0302,34.9475,5.18812,2.82638824852753,27.8592022046757,4.16948932107272e-07,3,"cast063",2502.104,"1.3759","19.5862","0.0406","0.0171","20.8712828689714","23.4547","41.1329956254151"
"stn22.d5","cast063","stn22","d5",4435,8.25,-50,0.0573,2,34.8564,5.04739,1.60745641315334,27.8870517766557,-7.09924182177348e-07,3,"cast063",4435.779,"1.6273","22.96","0.0461","0.0169","24.9063334975427","52.7777","45.2450661739694"
"stn23.d0","cast072","stn23","d0",5,9.75,-55.3,0.0788,28.0109,33.4807,4.16955,28.009727622824,21.2516194574263,9.14581941388129e-05,28,"cast074",5.837,"0.0992","0.0792","0.0191","0.034","4.25256849800714","4.7003","89.1148168472249"
"stn23.d1","cast072","stn23","d1",65,9.75,-55.3,0.2527,27.562,36.3243,4.11384,27.5468018019464,23.5411660959301,2.66476074870261e-06,28,"cast068",68.384,"0.1082","-0.0153","0.0428","0.0133","6.41199208188319","1.0678","73.1605235804502"
"stn23.d2","cast072","stn23","d2",249,9.75,-55.3,0.0202,14.2929,35.7058,2.59341,14.2558176594318,26.6790403176676,3.88322448435039e-05,12,"cast074",247.475,"1.0726","16.3177","0.02","0.0157","18.0113226680399","6.0139","49.4643312310497"
"stn23.d3","cast071","stn23","d3",930,9.75,-55.3,0.0433,5.1304,34.611,2.85892,5.05166045317505,27.3609994386768,4.29594165106362e-06,3,"cast068",877.359,"2.3979","35.024","0.0439","0.0161","37.938109524362","27.9092","48.4417936578674"
"stn23.d4","cast071","stn23","d4",2500,9.75,-55.3,0.0366,2.9519,34.9426,5.28369,2.74995434501624,27.8621657190181,3.03439238783303e-07,3,"cast068",2500.532,"1.3631","19.3729","0.0475","0.0165","21.3088100813783","22.9277","44.2241246805244"
"stn23.d5","cast071","stn23","d5",3749,9.75,-55.3,0.0406,2.287,34.8957,5.34219,1.96669342319474,27.8908480176858,-1.97028470238248e-07,3,"cast068",3760.354,"1.4056","19.704","0.0419","0.0167","22.2147717709368","32.3448","50.133917439723"
